session,statistic,base_l1,hawkes_l1,base_wasserstein,hawkes_wasserstein
INTC_2024-08-02,ask_volume_3,0.6991999999999999,0.8485555555555555,1.4203641921409655,1.4896870241262512
INTC_2024-08-02,bid_volume_3,0.6722333333333333,0.5402777777777777,1.168904637837015,1.0597497563748193
INTC_2024-08-02,limit_ask_order_depth,0.09359883147586995,0.016953365362743198,0.19996790799759512,0.03828376562950107
INTC_2024-08-02,limit_bid_order_depth,0.22750526008174443,0.25791529334670715,0.11508681248594486,0.19316990834014852
INTC_2024-08-02,log_inter_arrival_time,0.6351117039013002,0.26730021118150493,0.9734447233969389,0.42108745730668123
INTC_2024-10-01,spread,0.12064444444444442,0.11907777777777778,0.48118076844225344,0.29330140576727864
INTC_2024-10-01,orderbook_imbalance,0.7931694775924454,0.2894070049041163,,
INTC_2024-10-01,ask_volume_touch,0.9650222222222222,0.8110722222222222,1.862119152869213,1.4975598988172976
INTC_2024-10-01,bid_volume_touch,0.9916111111111112,0.7866444444444445,1.9533886410077805,1.5883391612103512
INTC_2024-10-01,ask_volume_3,0.9601999999999999,0.92365,1.8607749408509417,1.6513903412779782
INTC_2024-10-01,bid_volume_3,0.9906444444444444,0.7583222222222222,1.8270707917282507,1.4182757040786944
INTC_2024-10-01,limit_ask_order_depth,0.19086262561911926,6.469979296065276e-05,0.5671653516026379,0.41844818192846456
INTC_2024-10-01,limit_bid_order_depth,2.3423043590274523e-05,0.0014774639985038129,0.6769411871847393,0.5203135495330921
INTC_2024-10-01,log_inter_arrival_time,0.7191563854618206,0.2794153606757809,1.0356562578713822,0.44566221814156837
INTC_2024-12-02,spread,0.37051666666666666,0.15024444444444446,0.4586745264860907,0.2915990297713556
INTC_2024-12-02,orderbook_imbalance,0.692111774664787,0.3282000371690911,,
INTC_2024-12-02,ask_volume_touch,0.47563333333333335,0.7851777777777778,1.0743905533531328,1.5397462432005546
INTC_2024-12-02,bid_volume_touch,0.5267777777777777,0.7265222222222221,1.1587171519601303,1.3601376366190998
INTC_2024-12-02,ask_volume_3,0.967338888888889,0.9508,1.873434406872371,1.714287770550583
INTC_2024-12-02,bid_volume_3,0.9865666666666667,0.7764722222222221,1.9101921114533904,1.3859991238260752
INTC_2024-12-02,limit_ask_order_depth,0.2233669182320417,0.21980457374039858,0.46580048328256557,0.40932168275325326
INTC_2024-12-02,limit_bid_order_depth,0.4154022486351967,0.22869919970051106,0.040742670595115084,0.5156476243323033
INTC_2024-12-02,log_inter_arrival_time,0.706324330332333,0.28381127042347454,1.0549320930297303,0.5849457193395466
AAPL_2024-02-01,spread,0.30301666666666666,0.4000388888888889,0.1330892292301185,0.13013181253288902
AAPL_2024-02-01,orderbook_imbalance,0.24178568649131765,0.17196643434392317,,
AAPL_2024-02-01,ask_volume_touch,0.7345166666666666,0.7030000000000002,0.2075671136703859,0.5106932739635734
AAPL_2024-02-01,bid_volume_touch,0.7363166666666666,0.7220833333333333,0.24031020532044917,0.5162326209319963
AAPL_2024-02-01,ask_volume_3,0.23532777777777777,0.3356388888888889,0.14745368344829057,0.5047260814996956
AAPL_2024-02-01,bid_volume_3,0.1689833333333333,0.2445888888888889,0.15548938130978435,0.5006534303922708
AAPL_2024-02-01,limit_ask_order_depth,0.031937394644308996,0.007100233406787134,0.0669661528221389,0.01508859434946381
AAPL_2024-02-01,limit_bid_order_depth,0.03414451180390567,0.08161897731539497,0.07016327125863218,0.17048635942806817
AAPL_2024-02-01,log_inter_arrival_time,0.6664888296098701,0.23065466266533285,0.9576836478274515,0.4204021776900704
AAPL_2024-04-01,spread,0.13102777777777777,0.19177222222222223,0.09840842489767905,0.13159301063700185
AAPL_2024-04-01,orderbook_imbalance,0.17339750611119578,0.18298771823148943,,
AAPL_2024-04-01,ask_volume_touch,0.6622444444444444,0.6120166666666667,0.4715675222234419,0.8248747818870912
AAPL_2024-04-01,bid_volume_touch,0.7358277777777779,0.5416611111111111,0.2970993045803628,0.5898435629578653
AAPL_2024-04-01,ask_volume_3,0.3037888888888889,0.6617500000000002,0.30640226924745945,1.0243321488819066
AAPL_2024-04-01,bid_volume_3,0.2970555555555555,0.415,0.22515253744145286,0.3516034469516316
AAPL_2024-04-01,limit_ask_order_depth,0.1904005526607625,0.31342563382914146,0.009581993528421756,0.024464491022669246
AAPL_2024-04-01,limit_bid_order_depth,0.14729751887080467,0.28360472065320974,0.07377099236816519,0.10411968420276523
AAPL_2024-04-01,log_inter_arrival_time,0.672379682116261,0.2333833500055574,1.0054707017670161,0.442512518992634
AAPL_2024-06-03,spread,0.3598611111111111,0.37556666666666666,0.14406002385698563,0.3357699412432955
AAPL_2024-06-03,orderbook_imbalance,0.18212803969473323,0.2505015934497834,,
AAPL_2024-06-03,ask_volume_touch,0.6925944444444445,0.7054055555555556,0.21698860684054233,0.7626261373557504
AAPL_2024-06-03,bid_volume_touch,0.7157277777777777,0.7077444444444445,0.2111967489740967,0.7677996018730198
AAPL_2024-06-03,ask_volume_3,0.13749999999999998,0.5891777777777777,0.1695210854177926,1.1036812642138019
AAPL_2024-06-03,bid_volume_3,0.1419111111111111,0.6189111111111112,0.1167193659049963,1.143969720621469
AAPL_2024-06-03,limit_ask_order_depth,0.008457080883635363,0.12497883771404411,0.017255179025795913,0.26178483228049326
AAPL_2024-06-03,limit_bid_order_depth,0.08677439913397389,0.20736154136312465,0.176390899438244,0.4352011006900305
AAPL_2024-06-03,log_inter_arrival_time,0.7365566299877737,0.2669278648438368,1.0648251913339284,0.5041357095239287
AAPL_2024-08-01,spread,0.5622833333333332,0.6383166666666666,0.43899820974650905,0.7474378596745539
AAPL_2024-08-01,orderbook_imbalance,0.14962483040502303,0.17457140319419176,,
AAPL_2024-08-01,ask_volume_touch,0.5526111111111112,0.668261111111111,0.31834113209436904,0.60324095295249
AAPL_2024-08-01,bid_volume_touch,0.5433277777777776,0.6488111111111111,0.20421834237920428,0.41097961694020346
AAPL_2024-08-01,ask_volume_3,0.23979999999999996,0.33851666666666663,0.1268115907761186,0.5841568560747205
AAPL_2024-08-01,bid_volume_3,0.22907777777777777,0.29527222222222227,0.11864684963699762,0.27338829036349155
AAPL_2024-08-01,limit_ask_order_depth,0.26005814890208906,0.17707606928690198,0.5324927340661463,0.3710023988371425
AAPL_2024-08-01,limit_bid_order_depth,0.055255940204315616,0.25328055827104307,0.11893234792270162,0.5106674223778093
AAPL_2024-08-01,log_inter_arrival_time,0.686378792930977,0.2996332110703568,0.9968625858621147,0.508150973922243
AAPL_2024-10-01,spread,0.4405111111111111,0.4925555555555555,0.2095652678509316,0.32107794385517663
AAPL_2024-10-01,orderbook_imbalance,0.1774625962178817,0.14095328639362187,,
AAPL_2024-10-01,ask_volume_touch,0.6859333333333333,0.703188888888889,0.22969649250382218,0.5146939772379682
AAPL_2024-10-01,bid_volume_touch,0.6617111111111111,0.6891166666666666,0.1777193350083013,0.44468557267073466
AAPL_2024-10-01,ask_volume_3,0.15678888888888887,0.25257777777777785,0.1520164231492784,0.39875447872696596
AAPL_2024-10-01,bid_volume_3,0.33008333333333334,0.29030555555555554,0.06554162949279313,0.4302491588392188
AAPL_2024-10-01,limit_ask_order_depth,0.011633855441916545,0.05406745282852391,0.023541344043689284,0.10969266300470983
AAPL_2024-10-01,limit_bid_order_depth,0.13339862212874468,0.21499240671942949,0.266518423183398,0.4306535449956208
AAPL_2024-10-01,log_inter_arrival_time,0.7007113482271867,0.2998443925753028,1.0098946849686015,0.5120992052790797
