queue,n,exposure,add,cancel,exec,move,lambda_move,lambda_add,lambda_add_lo,lambda_add_hi,lambda_cancel,lambda_cancel_lo,lambda_cancel_hi,lambda_exec,lambda_exec_lo,lambda_exec_hi,lambda_total
-1,9,3.8305852740013506,62.0,46.0,36.0,1.0,0.2610567128702556,16.18551619795585,12.409342459701582,20.74910129665951,12.008608792031758,8.791810911389202,16.017801281445735,9.398041663329202,6.5822728418149135,13.0108510643271,37.59216665331681
-1,10,2.9211308099984308,42.0,48.0,25.0,0.0,0.0,14.377993568874981,10.362393094095625,19.434870422157214,16.431992650142835,12.115654219367963,21.786438308170613,8.558329505282726,5.538499608594392,12.633782633496715,39.368315724300544
-1,11,2.1744017020173487,31.0,13.0,13.0,1.0,0.4598966230904934,14.256795315805295,9.68680072297598,20.23638293808587,5.978656100176415,3.183382575805478,10.223684012725954,5.978656100176415,3.183382575805478,10.223684012725954,26.214107516158126
-1,12,2.3364222229647567,26.0,20.0,11.0,0.0,0.0,11.128125620637102,7.269261115846069,16.3052823709166,8.56009663125931,5.228729407436484,13.220374981487463,4.70805314719262,2.3502431680644342,8.424007578701602,24.39627539908903
-1,14,1.414825550018577,7.0,12.0,17.0,0.0,0.0,4.947606438057391,1.989194393247219,10.193960210510054,8.481611036669813,4.382572189653207,14.81566759089254,12.015615635282234,6.999538896846511,19.238164603084265,25.444833110009437
1,0,22920.049037476958,9459.0,0.0,92.0,29026.0,1.2664021770869294,0.4126954521141482,0.4044200741506481,0.42109754741032546,0.0,0.0,0.00016094553061741653,0.004013953017708176,0.0032358126566393456,0.004922757050702035,0.41670940513185634
1,1,293.14991822804586,2240.0,1498.0,1653.0,589.0,2.0092108623472575,7.641141479894493,7.327951316223308,7.964275188826212,5.110013364679443,4.854489138852228,5.375496768238414,5.638753065297141,5.370169957041502,5.917291232488402,18.389907909871077
1,2,99.5584523790676,1452.0,694.0,1102.0,211.0,2.1193579747164013,14.584397058237984,13.843796552171819,15.35432633551831,6.970779310204656,6.461736895018745,7.509264736092352,11.068874351362437,10.424916476949752,11.742198880551443,32.624050719805076
1,3,29.11625763799384,390.0,370.0,225.0,5.0,0.17172536601941227,13.394578549514156,12.098034655893999,14.792219207980155,12.707677085436508,11.445675742030234,14.07081994399204,7.727641470873552,6.750827883461409,8.806081647558782,33.829897105824216
1,4,27.54026073688874,223.0,208.0,225.0,13.0,0.47203619908315464,8.09723633811873,7.0692812296035985,9.232644031867181,7.552579185330474,6.561003035799497,8.651690556713769,8.16985729182383,7.137145352488793,9.310011422226522,23.819672815273034
1,5,8.530454833045951,80.0,78.0,69.0,8.0,0.9378163481985705,9.378163481985705,7.436300388726136,11.671936246790526,9.143709394936062,7.227722836790994,11.411763142307164,8.088666003212671,6.293464956741965,10.236724512831717,26.61053888013444
1,6,6.087402031997044,50.0,46.0,27.0,2.0,0.3285473818695488,8.213684546738719,6.0963549872994305,10.828719101818775,7.556589782999621,5.532373454546336,10.079431814766624,4.435389655238908,2.9229497309753856,6.453259081407287,20.20566398497725
1,7,2.679229279034189,35.0,36.0,36.0,2.0,0.7464833322219299,13.063458313883771,9.099177361673148,18.168108175732552,13.436699979994737,9.410899475689657,18.602056523957614,13.436699979994737,9.410899475689657,18.602056523957614,39.93685827387325
1,8,3.5748470349935815,36.0,15.0,24.0,1.0,0.2797322487399228,10.07036095463722,7.053157007978244,13.941624355215433,4.195983731098842,2.3484602419634397,6.920637059238613,6.713573969758147,4.301513520483842,9.98926590262269,20.97991865549421
1,9,2.8006894609716255,33.0,29.0,55.0,6.0,2.142329624048522,11.78281293226687,8.110746260618708,16.547450160037155,10.354593182901189,6.934633563697587,14.870923041977537,19.638021553778117,14.794045376621014,25.561584378984694,41.77542766894618
1,11,1.0602920569872367,3.0,9.0,17.0,0.0,0.0,2.8294091050010692,0.5834921791770515,8.268734083186533,8.488227315003208,3.8813580373995697,16.113299480866363,16.033318261672726,9.339998733694651,25.67089570891151,27.350954681677003
1,18,1.3522008560030372,7.0,2.0,4.0,0.0,0.0,5.176745724515557,2.081320270598575,10.66607471639552,1.479070207004445,0.17912226387720978,5.342910142121469,2.95814041400889,0.8059937018882326,7.574014341091862,9.613956345528893
2,0,17117.751309693194,14185.0,0.0,16.0,0.0,0.0,0.8286719291200079,0.8150904324761322,0.8424229880098527,0.0,0.0,0.00021550023641394125,0.0009347022112033927,0.0005342630751074648,0.0015178978317582914,0.8296066313312113
2,1,3596.8569729659357,15744.0,10447.0,5493.0,0.0,0.0,4.3771548655763315,4.309045915431473,4.446070661070399,2.9044802388640707,2.8490484541755436,2.9607193619010386,1.5271666461261932,1.4870447197291432,1.56809691803401,8.808801750566596
2,2,1116.564632765636,9013.0,5629.0,2232.0,0.0,0.0,8.072080859014461,7.906283207852214,8.240479893887963,5.041356169465483,4.910508282830765,5.174807884849986,1.998988625021666,1.9169101976455636,2.0836777264623594,15.11242565350161
2,3,540.8397377074289,4038.0,3282.0,796.0,0.0,0.0,7.466167366171575,7.237640190294235,7.700074496821416,6.068341083649111,5.862487611191461,6.279577610176418,1.4717853450897906,1.3713041409758402,1.5776819468953103,15.006293794910478
2,4,346.31562395428773,3017.0,3121.0,612.0,0.0,0.0,8.711706291363372,8.403591052875106,9.02823033684666,9.012010386259556,8.698582528059513,9.333846190306,1.7671740968890897,1.6299211477722342,1.9128981807264342,19.490890774512017
2,5,264.32370852681197,1444.0,1683.0,327.0,0.0,0.0,5.4629984122424124,5.184828128653785,5.752215747521002,6.36719274778669,6.066595385825477,6.678830021633604,1.2371194465396598,1.1066511742457061,1.3787409211156325,13.067310606568762
