queue,n,cls,exposure,add,cancel,exec,move,lambda_add,lambda_cancel,lambda_exec,lambda_move
-1,16,1,40.11065150995273,932.0,966.0,47.0,0.0,23.235723303291174,24.08337844525673,1.1717585785994475,0.0
-1,16,2,197.51791503897402,1440.0,1486.0,160.0,0.0,7.2904779281203975,7.523368195268688,0.8100531031244886,0.0
-1,16,3,242.5298533230307,1199.0,1079.0,368.0,0.0,4.943721292747521,4.448936843098061,1.5173389789250107,0.0
-1,17,0,1.810806798923295,1367.0,699.0,9.0,0.0,754.9121202840732,386.0157805988055,4.970160265220672,0.0
-1,17,1,36.72231950920104,868.0,843.0,56.0,0.0,23.636851146685228,22.956066263428166,1.5249581384958213,0.0
-1,17,2,186.14139977983723,1353.0,1205.0,182.0,0.0,7.268667806303649,6.4735733234263835,0.9777513235382588,0.0
-1,17,3,233.50073076706758,1226.0,977.0,360.0,0.0,5.250518899758888,4.184141080802964,1.5417510635507339,0.0
-1,18,0,1.8043666239682352,1242.0,576.0,3.0,0.0,688.3301783029792,319.22558993761356,1.6626332809250706,0.0
-1,18,1,34.97294311197038,676.0,716.0,55.0,0.0,19.32922825041344,20.47296956700595,1.572644310314703,0.0
-1,18,2,140.84192560116207,1162.0,1093.0,158.0,0.0,8.250384216490806,7.760473277645827,1.1218250483696621,0.0
-1,18,3,157.27490492787183,898.0,900.0,232.0,0.0,5.709747530363052,5.722464117290364,1.4751240835681827,0.0
-1,19,0,1.8473468950105598,1135.0,498.0,2.0,0.0,614.3946234816456,269.57579074348854,1.0826336977650144,0.0
-1,19,1,20.670871049020207,621.0,643.0,45.0,0.0,30.04227536069097,31.10657497089258,2.176976475412389,0.0
-1,19,2,154.00205895505496,1112.0,1049.0,143.0,0.0,7.220682681421382,6.811597241736537,0.9285590138878216,0.0
-1,19,3,176.2000718512718,894.0,804.0,242.0,0.0,5.073777726689089,4.562994734069383,1.3734387134885455,0.0
-1,20,0,1.1564037640055176,1007.0,475.0,0.0,0.0,870.8031150918973,410.7561863641025,0.0,0.0
-1,20,1,29.227919557924906,581.0,577.0,30.0,0.0,19.878253696728365,19.74139824959082,1.026415853531585,0.0
-1,20,2,134.3430555719824,1012.0,925.0,111.0,0.0,7.5329535694367165,6.8853577586254575,0.8262429310350549,0.0
-1,20,3,112.83758298199245,750.0,666.0,212.0,0.0,6.646721599129708,5.90228878002718,1.8788066386873308,0.0
-1,21,1,19.656897663968266,524.0,539.0,41.0,0.0,26.657309253866092,27.4204001676218,2.0857818309322704,0.0
-1,21,2,144.37174424897967,852.0,917.0,112.0,0.0,5.901431782459201,6.351658385581088,0.7757750699946367,0.0
