session,decile,orders,fill_prob,median_ttf_s,median_life_s,median_own_size,adverse_1s,adverse_10s,adverse_60s,adverse_10s_lo,adverse_10s_hi,half_spread_ticks,edge_ticks
INTC_2024-04-01,6,14328,0.13058347292015635,0.6711950109965983,0.1227098279960046,100.0,0.4652592196686264,0.5061464457509354,0.5058792089791555,0.3924412095919449,0.5983549340388737,0.5375139586823003,0.004096078775445552
INTC_2024-04-01,7,20139,0.10943939619643478,1.4518640475034772,0.12613420699926792,100.0,0.49069872958257715,0.5031760435571688,0.6547186932849365,0.3982959804561249,0.5987084905070953,0.5530314315507224,0.00545614355915349
INTC_2024-04-01,8,60015,0.07779721736232609,2.7933524850013782,0.09820490600395715,100.0,0.48254444206468194,0.5582565859927179,0.7889269650888842,0.47281075401202177,0.6707264131244497,0.566883279180205,0.0006711327250250316
INTC_2024-04-01,9,168415,0.07796217676572752,2.8506381875013176,0.005159737003850751,100.0,0.46073876618431076,0.44234577303884237,0.3554074638233054,0.3661723710166577,0.5113789690612736,0.6247691713920969,0.014222125228621154
INTC_2024-08-02,0,28251,0.47913348200063716,0.000703512501786463,0.006164019003335852,200.0,0.4179595153664303,0.5957077423167849,0.4929078014184397,0.3611942011189319,0.8614508636011377,0.5512548228381297,-0.021298882094902043
INTC_2024-08-02,1,2968,0.37365229110512127,0.08717922999494476,0.06064423049610923,800.0,0.47745716862037874,0.757439134355275,0.5284039675383229,0.4695604666275365,1.0548549442417317,0.5726078167115903,-0.0690626453055412
INTC_2024-08-02,2,4202,0.32484531175630654,0.08271344099921407,0.07075761300075101,700.0,0.44395604395604393,0.38461538461538464,0.24285714285714285,0.024940403422982888,0.6557724512685643,0.5654450261780105,0.058741661288192366
INTC_2024-08-02,3,5279,0.31824209130517145,0.14604033199793776,0.10007940899959067,700.0,0.4625,0.5392857142857143,0.15833333333333333,0.17309714673913043,0.9016077732302488,0.5624171244553893,0.007361388347235088
INTC_2024-08-02,4,7424,0.26953125,0.19408457000099588,0.1230911169986939,700.0,0.49525237381309345,0.5154922538730635,0.0002498750624687656,0.3023433567253344,0.7354762322699623,0.5607489224137931,0.012198086442618532
INTC_2024-08-02,5,15507,0.2500161217514671,0.1316725279975799,0.04418350099876989,371.0,0.4558937322672169,0.4849110136703637,0.17629610523600722,0.3215593832015083,0.6624675260030591,0.5632295092538854,0.01958088652720149
INTC_2024-08-02,6,19838,0.20027220485936081,0.29568033500254387,0.06882634799694642,400.0,0.45507173420588976,0.5242889504153033,0.3970551220739995,0.38321734023718823,0.6673102067417096,0.5746294989414256,0.010081812647156147
INTC_2024-08-02,7,35887,0.14609747262239808,0.36946130899741547,0.04748021299747052,400.0,0.43477016975014304,0.4279038718291055,0.2363150867823765,0.23086539481922563,0.6319226982297012,0.5899211413603812,0.023670313599701245
INTC_2024-08-02,8,90413,0.10609093825003042,0.5415096565011481,0.036005678004585207,300.0,0.46757714762301916,0.5066201000834029,0.4351542952460384,0.4023917810831426,0.6113843889942331,0.590014710273965,0.008847412440112288
INTC_2024-08-02,9,342387,0.10743398551931002,1.7532504449991393,0.006772314998670481,150.0,0.5951772509786863,0.7687989343192693,0.7273814702044367,0.6729747816861094,0.8875268902229911,0.6613218375697676,-0.011546692855843445
INTC_2024-10-01,0,7886,0.37395384225209233,0.00046262500109151006,0.05604997350019403,300.0,0.46151237707697523,0.5083079009833842,0.6571719226856562,0.41418833049970083,0.5939875537990457,0.5027263504945473,-0.002087242251024605
INTC_2024-10-01,1,852,0.215962441314554,0.01430931999857421,0.19940523950208444,1300.0,0.37771739130434784,0.41032608695652173,0.27717391304347827,0.12106265935040461,0.6805996777163904,0.5082159624413145,0.021140536489673557
INTC_2024-10-01,2,1986,0.22356495468277945,0.0835841430016444,0.159211491500173,800.0,0.48536036036036034,0.38626126126126126,0.34797297297297297,0.22256599378881986,0.566725941422594,0.5050352467270897,0.026553700678161034
INTC_2024-10-01,3,2829,0.1488158359844468,0.21131812800012995,0.2838326369965216,1200.0,0.3586698337292161,0.30522565320665085,0.6437054631828979,0.18143239625167337,0.44213930006217417,0.5090137857900318,0.030326901314105113
INTC_2024-10-01,4,3784,0.14429175475687103,0.2124167195033806,0.20182618299804744,1200.0,0.391025641025641,0.3965201465201465,0.4926739926739927,0.1902189511534917,0.6265308732188527,0.5137420718816068,0.016914157306384073
INTC_2024-10-01,5,6757,0.14251886932070446,0.17458008699759375,0.02891341099893907,400.0,0.4688473520249221,0.40809968847352024,0.6838006230529595,0.2733603944090199,0.5374389739718148,0.517093384638153,0.015533658340467866
INTC_2024-10-01,6,10624,0.1095632530120482,0.485254093498952,0.06373808049829677,400.0,0.406786941580756,0.43556701030927836,0.4566151202749141,0.26715841778303884,0.5945996824940494,0.5255082831325302,0.009854258430559593
INTC_2024-10-01,7,21945,0.07413989519252677,0.7290956060023746,0.05701654700533254,400.0,0.3896742470805163,0.30147510755992624,0.2953288260602336,0.18611467579925295,0.3977216258965562,0.5462064251537936,0.018144354236738307
INTC_2024-10-01,8,62664,0.05596514745308311,1.4282676310031093,0.08647181199921761,400.0,0.4679213002566296,0.4007698887938409,0.313373253493014,0.3333310829057521,0.47145771327074026,0.564550619175284,0.009166012725771115
INTC_2024-10-01,9,235778,0.06462859130198746,3.426389965505223,0.08633755550181377,200.0,0.4820842630266439,0.46941855886599293,0.49947499671872947,0.40979701047082523,0.5210871911173767,0.6156257157156309,0.009449162585460826
INTC_2024-12-02,0,12972,0.42769041011409187,0.0006967500012251548,0.006837655499111861,200.0,0.45755227108868063,0.4303352559480894,0.27189978370583995,0.21237795667787143,0.6342669333085494,0.5137218624730188,0.03566365194266944
INTC_2024-12-02,1,1653,0.3061101028433152,0.01070257799801766,0.05239303800044581,1000.0,0.5049407114624506,0.4634387351778656,0.41007905138339923,0.12936571337274325,0.7954831609781359,0.5202661826981246,0.01739545580474959
INTC_2024-12-02,2,2579,0.24738270647537805,0.07339953150221845,0.08577505300490884,1000.0,0.5830721003134797,0.6684952978056427,0.8894984326018809,0.3484877596283766,0.9816676569518015,0.5250096936797208,-0.03549585708892521
INTC_2024-12-02,3,3982,0.24711200401808137,0.13873705100195366,0.10730591950050439,800.0,0.4806910569105691,0.681910569105691,0.529979674796748,0.5231954241492747,0.8464997127674853,0.5242340532395781,-0.03896375982226398
INTC_2024-12-02,4,4246,0.2220913801224682,0.23943447100464255,0.05995479899866041,900.0,0.4899257688229056,0.5286320254506893,0.25609756097560976,0.31184276278559164,0.7813812088364434,0.5308525671219971,0.0004931631644002031
INTC_2024-12-02,5,10845,0.16892577224527433,0.04455298850007239,0.002495977998478338,400.0,0.5474890829694323,0.4031113537117904,0.5032751091703057,0.2047072702396119,0.598965745329661,0.5304748732134624,0.021514980887696003
INTC_2024-12-02,6,14549,0.1545123376177057,0.27649044950157986,0.009280672995373607,500.0,0.4973309608540925,0.6732651245551602,0.5580516014234875,0.5413772626009469,0.8056281326635651,0.5492817375764657,-0.0191569629478387
INTC_2024-12-02,7,28898,0.11301820195169215,0.29067339850007556,0.010667074497177964,500.0,0.4568279240661359,0.6187997550520514,0.506582976117575,0.4581938226310211,0.7887737884540772,0.5759914180912173,-0.004838121271855633
INTC_2024-12-02,8,76610,0.08296567027803159,0.5465089375029493,0.018461386000126367,300.0,0.4568124606670862,0.5781151667715544,0.6150094398993078,0.49133409143807016,0.6738694166806456,0.5880890223208458,0.0008274876109032278
