session,latency_s,latency,quotes,fills,fill_rate,crossed_share,alone_share,median_ahead,gross_ticks,adverse_ticks,net_ticks,net_total_ticks
INTC_2024-12-02,1e-05,10us,24160,3630,0.15024834437086093,0.00020695364238410596,0.007700269095425378,1430.0,0.24917355371900826,0.5398071625344353,-0.290633608815427,-1055.0
INTC_2024-12-02,0.0001,100us,24158,2480,0.10265750476032784,0.015646990644920936,0.04373423044575273,2100.0,0.11653225806451613,0.3967741935483871,-0.28024193548387094,-695.0
INTC_2024-12-02,0.001,1ms,24155,4110,0.17015110743117368,0.08979507348375078,0.04248157918675521,2095.5,-0.1818734793187348,0.13199513381995134,-0.31386861313868614,-1290.0
INTC_2024-12-02,0.01,10ms,24107,5123,0.21251088895341602,0.1348570954494545,0.043632527809743,2100.0,-0.33369119656451296,0.16260003903962522,-0.4962912356041382,-2542.5
INTC_2024-12-02,0.1,100ms,23960,6007,0.25070951585976625,0.18105175292153589,0.0505045357252064,2130.0,-0.5397869152655236,-0.04036956883635758,-0.49941734642916596,-3000.0
AAPL_2024-02-01,0.0,0,152549,2811,0.018426866121705156,7.866324918550761e-05,0.0035663478369182557,100.0,0.6979722518676628,0.8614372109569548,-0.16346495908929207,-459.5
AAPL_2024-02-01,1e-05,10us,152549,8992,0.05894499472300704,0.00014421595684009728,0.006982370334432593,100.0,0.3076067615658363,0.578125,-0.2705182384341637,-2432.5
AAPL_2024-02-01,0.0001,100us,152535,6627,0.04344576654538303,0.004556331333792244,0.062065331928345624,155.0,0.20944620491926966,0.5740153915799004,-0.36456918666063076,-2416.0
AAPL_2024-02-01,0.001,1ms,152185,8171,0.0536912310674508,0.02127016460229326,0.11234793350699573,150.0,-0.14545343287235343,0.25492595765512177,-0.40037939052747523,-3271.5
AAPL_2024-02-01,0.01,10ms,151286,10743,0.07101119733484923,0.04238330050368177,0.16047738034429918,150.0,-0.5302522572838128,-0.10825653914176674,-0.421995718142046,-4533.5
AAPL_2024-02-01,0.1,100ms,149439,15195,0.10168028426314416,0.07722214415246355,0.21841347652992407,145.0,-0.9663047054952287,-0.1054623231326094,-0.8608423823626192,-13080.5
AAPL_2024-04-01,0.0,0,46407,2858,0.061585536664727304,8.619389316266943e-05,0.0017240264638062194,200.0,0.5337648705388384,0.675297410776767,-0.14153254023792863,-404.5
AAPL_2024-04-01,1e-05,10us,46407,5851,0.1260801172236947,0.0006680026720106881,0.008625150940141452,286.0,0.2325243548111434,0.43189198427619213,-0.1993676294650487,-1166.5
AAPL_2024-04-01,0.0001,100us,46407,4183,0.09013726377486155,0.014415928631456462,0.049127640036730945,400.0,0.09897202964379632,0.3386325603633756,-0.23966053071957924,-1002.5
AAPL_2024-04-01,0.001,1ms,46368,6941,0.14969375431331952,0.07231280193236715,0.06497733348831802,400.0,-0.17137300100850023,0.24348076646016426,-0.4148537674686645,-2879.5
AAPL_2024-04-01,0.01,10ms,46241,8580,0.1855496204666854,0.10897255682186804,0.07567593806125916,400.0,-0.3372960372960373,0.10524475524475524,-0.44254079254079254,-3797.0
AAPL_2024-04-01,0.1,100ms,45769,10032,0.21918765976971313,0.1523738775153488,0.08642866348756283,420.0,-0.5569677033492823,-0.061503189792663476,-0.4954645135566188,-4970.5
AAPL_2024-06-03,0.0,0,142948,5220,0.03651677533088955,2.0986652489016985e-05,0.00232257161845465,107.0,0.6433908045977011,0.743103448275862,-0.09971264367816092,-520.5
AAPL_2024-06-03,1e-05,10us,142947,13263,0.09278263971961637,0.0007765115742198157,0.009808451650844326,125.0,0.29303325039583805,0.6823116941868356,-0.3892784437909975,-5163.0
AAPL_2024-06-03,0.0001,100us,142945,13353,0.0934135506663402,0.01397040819895764,0.09003320373471067,200.0,0.1492174043286153,0.7624878304500862,-0.6132704261214709,-8189.0
AAPL_2024-06-03,0.001,1ms,142720,17480,0.12247757847533633,0.051443385650224216,0.12377934376338844,200.0,-0.1538329519450801,0.6330949656750572,-0.7869279176201373,-13755.5
AAPL_2024-06-03,0.01,10ms,142082,20463,0.14402246589997325,0.07738489041539393,0.15463013113428487,200.0,-0.3731124468552998,0.33853784880027366,-0.7116502956555735,-14562.5
AAPL_2024-06-03,0.1,100ms,140235,24041,0.17143366491959924,0.11602666951902164,0.17768868381142913,207.0,-0.737448525435714,0.29632710785741023,-1.0337756332931243,-24853.0
AAPL_2024-08-01,0.0,0,228944,6139,0.026814417499475853,5.67824446152771e-05,0.004542853523550764,100.0,0.989249063365369,0.9286528750610848,0.060596188304284086,372.0
AAPL_2024-08-01,1e-05,10us,228943,16922,0.07391359421340683,0.00031012085977732447,0.010604180502639029,100.0,0.5910057912776268,1.0582968916203759,-0.46729110034274907,-7907.5
